name,sourceid
Eskay K`n`IT (India) Limited,55671
Esquire Money Guarantees Limited,55674
Essar Oil Limited,55676
Essar Securities Limited,55679
Essar Shipping Ports and Logistics Limited,55681
Essel Propack Limited,55684
Essen Supplements India Limited,55687
Ester Industries Limited,55689
Eupharma Laboratories Limited,55692
Euro Ceramics Limited,55695
Euro Leder Fashion Limited,55698
Euro Multivision Limited,55700
Eurotex Industries & Exports Limited,55703
Eveready Industries (India) Limited,55706
Everest Buildcon Limited,55709
Everest Fintrade Limited,55711
Everest Industries Limited,55713
Everest Kanto Cylinder Limited,55716
Everlon Synthetics Limited,55719
Everonn Education Limited,55721
Evinix Accessories Limited,55724
Excel Crop Care Limited,55727
Excel Glasses Limited,55730
Excel Industries Limited,55732
Excel Infoways Limited,55735
Exdon Trading Company Limited,55738
Exelon Infrastructure Limited,55740
Exide Industries Limited,55742
Explicit Finance Limited,55745
Expo Gas Containers Limited,55747
F A G Bearings India Limited,55749
F D C Limited,55752
F G P Limited,55755
FCS Software Solutions Limited,55758
FIEM Industries Limited,55761
Facor Alloys Limited,55764
Facor Steels Limited,55766
Fact Enterprise Limited,55768
Fairdeal Filaments Limited,55770
Fairfield Atlas Limited,55772
Falcon Tyres Limited,55774
Fame India Limited,55777
Farmax India Limited,55780
Fast Track Entertainment Limited,55782
Faze Three Limited,55784
Fedders Lloyd Corporation Limited,55787
Federal Bank Limited,55790
Federal-Mogul Goetze (India) Limited,55793
Fem Care Pharma Limited,55796
Fenoplast Limited,55798
Ferro Alloys Corporation Limited,55800
Fertilisers & Chemicals Travancore Limited,55803
Fiberweb (India) Limited,55806
Fics Consultancy Services Limited,55808
Filatex Fashions Limited,55810
Filatex India Limited,55812
Filmcity Media Limited,55814
Financial Eyes (India) Limited,55816
Financial Technologies (India) Limited,55818
Finaventure Capital Limited,55821
Fine-Line Circuits Limited,55823
Finolex Cables Limited,55825
Finolex Industries Limited,55828
First Custodian Fund (India) Limited,55831
First Leasing Company Of India Limited,55833
First Winner Industries Limited,55836
Firstobject Technologies Limited,55839
Firstsource Solutions Limited,55841
Flawless Diamond (India) Limited,55844
Flex Foods Limited,55846
Fluidomat Limited,55848
Fomento Resorts & Hotels Limited,55850
Foods & Inns Limited,55852
Forbes & Company Limited,55854
Force Motors Limited,55857
Fortis Healthcare Limited,55860
Fortis Malar Hospitals Limited,55863
Fortune Financial Services (India) Limited,55865
Foseco India Limited,55867
Foundry Fuel Products Limited,55870
Four Soft Limited,55872
Fresenius Kabi Oncology Limited,55875
Freshtrop Fruits Limited,55878
Frontier Information Technologies Limited,55880
Frontier Leasing & Finance Limited,55882
Frontier Springs Limited,55884
Frontline Business Solutions Limited,55886
Frontline Corporation Limited,55888
Fulford (India) Limited,55890
Funworld & Tourism Development Limited,55893
Futura Polyesters Limited,55895
Future Capital Holdings Limited,55898
Futuristic Securities Limited,55901
G A I L (India) Limited,55903
G E M Spinners India Limited,55906
G G Dandekar Machine Works Limited,55909
G H C L Limited,55911
G I C Housing Finance Limited,55914
G K B Ophthalmics Limited,55917
G K Steel and Allied Industries Limited,55919
G K W Limited,55921
G M Breweries Limited,55924
G M M Pfaudler Limited,55927
G M R Industries Limited,55929
G M R Infrastructure Limited,55932
G R Cables Limited,55935
G S Auto International Limited,55937
G S L (India) Limited,55939
G S L Securities Limited,55942
G T L Infrastructure Limited,55944
G T L Limited,55947
G T N Industries Limited,55950
G T N Textiles Limited,55953
G V Films Limited,55956
G-Tech Info-Training Limited,55958
GDL Leasing & Finance Limited,55960
GEE Limited,55962
GEI Industrial Systems Limited,55964
GI Engineering Solutions Limited,55966
GIVO Limited,55969
GRM Overseas Limited,55971
GSB Finance Limited,55973
GSL Nova Petrochemicals Limited,55975
GSS America Infotech Limited,55978
GUFIC Biosciences Limited,55981
GVK Power & Infrastructure Limited,55984
Gabriel India Limited,55987
Gagan Gases Limited,55990
Gajra Bevel Gears Limited,55992
Galada Power & Telecommunication Limited,55994
Galaxy Bearings Limited,55997
Galaxy Consolidated Finance Limited,55999
Galaxy Entertainment Corporation Limited,56001
Gallantt Metal Limited,56003
Gallops Enterprise Limited,56006
Gamma Infoway Exalt Limited,56008
Gammon India Limited,56010
Gammon Infrastructure Projects Limited,56013
Gandhi Special Tubes Limited,56016
Gandhimathi Appliances Limited,56019
Gandhinagar Hotels Limited,56021
Ganesh Benzoplast Limited,56023
Ganesh Housing Corporation Limited,56026
Ganesh Polytex Limited,56029
Gangotri Iron & Steel Company Limited,56031
Gangotri Textiles Limited,56033
Garden Silk Mills Limited,56036
Garg Furnace Limited,56039
Garnet Construction Limited,56041
Garnet International Limited,56043
Garware Marine Industries Limited,56045
Garware Offshore Services Limited,56047
Garware Polyester Limited,56050
Garware-Wall Ropes Limited,56053
Gateway Distriparks Limited,56056
Gati Limited,56059
Gayatri BioOrganics Limited,56062
Gayatri Projects Limited,56064
Gayatri Sugars Limited,56066
Geecee Ventures Limited,56068
Geefcee Finance Limited,56071
Gemini Communication Limited,56073
Gemstone Investments Limited,56076
Genesys International Corporation Limited,56078
Gennex Laboratories Limited,56081
Genus Commu Trade Limited,56083
Genus Power Infrastructures Limited,56085
Genus Prime Infra Limited,56088
Geodesic Limited,56090
Geojit BNP Paribas Financial Services Limited,56093
Geometric Limited,56096
German Remedies Limited,56099
Gillanders Arbuthnot & Company Limited,56102
Gillette India Limited,56105
Gini Silk Mills Limited,56108
Ginni Filaments Limited,56110
Gitanjali Gems Limited,56113
Glance Finance Limited,56116
Glaxo SmithKline Pharmaceuticals Limited,56118
GlaxoSmithkline Consumer Healthcare Limited,56121
Glenmark Pharmaceutical Limited,56124
Glittek Granites Limited,56127
Global Capital Markets Limited,56129
Global Trust Bank Limited,56131
Global Vectra Helicorp Limited,56134
Globsyn Infotech Limited,56137
Globus Corporation Limited,56139
Globus Spirits Limited,56142
Glodyne Technoserve Limited,56145
Glory Polyfilms Limited,56148
Gloster Jute Mills Limited,56151
Goa Carbon Limited,56153
Godavari Drugs Limited,56156
Godawari Power and Ispat Limited,56158
Godfrey Phillips India Limited,56161
Godrej Consumer Products Limited,56164
Godrej Industries Limited,56167
Godrej Properties Limited,56170
Goenka Diamond and Jewels Limited,56173
Gogia Capital Services Limited,56176
Gokak Textiles Limited,56178
Gokaldas Exports Limited,56180
Gokul Refoils and Solvent Limited,56183
Goldcrest Finance (India) Limited,56186
Golden Carpets Limited,56189
Golden Legand Leasing & Finance Limited,56191
Golden Securities Limited,56193
Golden Tobacco Limited,56195
Goldiam International Limited,56198
Goldstone Infratech Limited,56201
Goldstone Technologies Limited,56204
Golechha Global Finance Limited,56207
Golkunda Diamonds & Jewellery Limited,56209
Gomti Finlease (India) Limited,56211
Gontermann-Peipers (India) Limited,56213
Good Luck Steel Tubes Limited,56216
Goodricke Group Limited,56218
Goodyear India Limited,56221
Gopal Iron & Steels Company (Gujarat) Limited,56224
Gopala Polyplast Limited,56226
Gorani Industries Limited,56228
Gothi Plascon (India) Limited,56230
Govind Rubber Limited,56232
Gowra Leasing & Finance Limited,56235
Grabal Alok Impex Limited,56237
Granules India Limited,56240
Graphite India Limited,56243
Grasim Industries Limited,56246
Gratex Industries Limited,56249
Grauer & Weil (India) Limited,56251
Graviss Hospitality Limited,56253
Gravity (India) Limited,56255
Great Eastern Shipping Company Limited,56257
Great Offshore Limited,56260
Greaves Cotton Limited,56263
Greenearth Resources and Projects Limited,56266
Greenply Industries Limited,56269
Greycells Education Limited,56272
Grindwell Norton Limited,56274
Gruh Finance Limited,56277
Gujarat Alkalies & Chemicals Limited,56280
Gujarat Ambuja Exports Limited,56283
Gujarat Apollo Industries Limited,56286
Gujarat Automotive Gears Limited,56289
Gujarat Borosil Limited,56291
Gujarat Carbon and Industries Limited,56294
Gujarat Cotex Limited,56296
Gujarat Craft Industries Limited,56298
Gujarat Fluorochemicals Limited,56300
Gujarat Foils Limited,56303
Gujarat Gas Company Limited,56305
Gujarat Hotels Limited,56308
Gujarat Industries Power Company Limited,56310
Gujarat Intrux Limited,56313
Gujarat Investa Limited,56315
Gujarat Lease Financing Limited,56317
Gujarat Mineral Development Corporation Limited,56320
Gujarat N R E Coke Limited,56323
Gujarat Narmada Valley Fertilizers Company Limited,56326
Gujarat Natural Resources Limited,56329
Gujarat Organics Limited,56331
Gujarat Petrosynthese Limited,56333
Gujarat Poly-Avx Electronics Limited,56335
Gujarat Raffia Industries Limited,56337
Gujarat Reclaim & Rubber Products Limited,56340
Gujarat Sidhee Cement Limited,56342
Gujarat State Fertilizers & Chemicals Limited,56345
Gujarat State Financial Corporation Limited,56348
Gujarat State Petronet Limited,56351
Gujarat Terce Laboratories Limited,56354
Gujarat Themis Biosyn Limited,56356
Gujarat Toolroom Limited,56359
Gulf Oil Corporation Limited,56361
Gulshan Polyols Limited,56364
Gupta Synthetics Limited,56366
H B Estate Developers Limited,56368
H B L Power Systems Limited,56370
H B Leasing & Finance Company Limited,56373
H B Portfolio Limited,56375
H B Stockholdings Limited,56377
H C L Infosystems Limited,56380
H C L Technologies Limited,56383
H D F C Bank Limited,56386
H E G Limited,56389
H F C L Infotel Limited,56392
H K Finechem Limited,56394
H M T Limited,56396
H P Cotton Textile Mills Limited,56399
H S India Limited,56401
HEM Holdings & Trading Limited,56403
HOV Services Limited,56405
HSBC InvestDirect (India) Limited,56408
HSIL Limited,56411
HT Media Limited,56414
Haldyn Glass Gujarat Limited,56417
Halonix Limited,56419
Hanil Era Textiles Limited,56422
Hanjer Fibres Limited,56425
Hanung Toys and Textiles Limited,56427
Hardcastle & Waud Mfg Company Limited,56430
Haria Exports Limited,56432
Harita Seating Systems Limited,56435
Hariyana Ship Breakers Limited,56438
Harley Street Pharmaceuticals Limited,56440
Harrisons Malayalam Limited,56442
Haryana Capfin Limited,56445
Haryana Financial Corporation Limited,56447
Haryana Leather Chemicals Limited,56449
Hasti Finance Limited,56451
Hathway Bhawani Cabletel & Datacom Limited,56453
Hathway Cable and Datacom Limited,56455
Hatsun Agro Product Limited,56458
Havell`S India Limited,56460
Hawkins Cookers Limited,56463
Hazoor Multi Projects Limited,56466
HeidelbergCement India Limited,56468
Helios & Matheson Information Technology Limited,56471
Hella India Lighting Limited,56474
Henkel India Limited,56476
Hercules Hoists Limited,56478
Heritage Foods (India) Limited,56481
Hero Honda Motors Limited,56484
Hester Biosciences Limited,56487
Hexaware Technologies Limited,56489
Hi-Tech Gears Limited,56492
Hikal Limited,56495
Hilton Metal Forging Limited,56498
Himachal Fibres Limited,56501
Himadri Chemicals & Industries Limited,56503
Himalaya Granites Limited,56506
Himalya International Limited,56509
Himatsingka Seide Limited,56511
Hind Aluminium Industries Limited,56514
Hind Industries Limited,56516
Hind Lever Chemicals Limited,56519
Hind Rectifiers Limited,56522
Hind Syntex Limited,56525
Hindalco Industries Limited,56528
"Hindoostan Spinning and Weaving Mills Limited, The",56531
Hinduja Foundries Limited,56534
Hinduja Global Solutions Limited,56537
Hinduja Ventures Limited,56540
Hindustan Adhesives Limited,56543
Hindustan Appliances Limited,56545
Hindustan Bio Sciences Limited,56547
Hindustan Composites Limited,56549
Hindustan Construction Company Limited,56552
Hindustan Copper Limited,56555
Hindustan Dorr-Oliver Limited,56558
Hindustan Everest Tools Limited,56561
Hindustan Flurocarbons Limited,56563
Hindustan Hardy Spicer Limited,56565
Hindustan Housing Company Limited,56567
Hindustan Motors Limited,56569
Hindustan Oil Exploration Company Limited,56572
Hindustan Organic Chemicals Limited,56575
Hindustan Petroleum Corporation Limited,56578
Hindustan Tin Works Limited,56581
Hindustan Unilever Limited,56584
Hindustan Zinc Limited,56587
Hindusthan National Glass & Industries Limited,56590
Hindusthan Udyog Limited,56593
Hipolin Limited,56595
Hira Automobiles Limited,56597
Hiran Orgochem Limited,56599
Hisar Metal Industries Limited,56601
Hisar Spinning Mills Limited,56603
Hit Kit Global Solutions Limited,56605
Hitachi Home and Life Solutions (India) Limited,56607
Hitech Plast Limited,56610
Hittco Tools Limited,56613
Honda Siel Power Products Limited,56615
Honeywell Automation India Limited,56618
Horizon Infrastructure Limited,56621
Hotel Leela Venture Limited,56623
Hotel Rugby Limited,56626
House of Pearl Fashions Limited,56629
Housing Development Finance Corporation Limited,56632
Housing Development and Infrastructure Limited,56635
Howard Hotels Limited,56638
Hyderabad Flextech Limited,56640
Hyderabad Industries Limited,56642
Hydro S & S Industries Limited,56645
Hytone Texstyles Limited,56648
I A G Company Limited,56650
I C I C I Bank Limited,56652
I C S A (India) Limited,56655
I F B Agro Industries Limited,56658
I F B Industries Limited,56661
I F C I Limited,56664
I F G L Refractories Limited,56667
I G Petrochemicals Limited,56670
I K F Finance Limited,56673
I K F Technologies Limited,56675
I L & F S Investment Managers Limited,56677
I M C Finance Limited,56680
I M P Powers Limited,56682
I O L Netcom Limited,56685
I P Rings Limited,56688
I Q Infotech Limited,56691
I S T Limited,56693
I T C Limited,56695
I T I Limited,56698
I T L Industries Limited,56701
I T W Signode India Limited,56703
I V P Limited,56706
I V R C L Infrastructure & Projects Limited,56709
IBN18 Broadcast Limited,56712
ICRA Limited,56715
IDBI Bank Limited,56718
IDream Film Infrastructure Company Limited,56721
IEC Education Limited,56723
IFL Promoters Limited,56725
IL&FS Transportation Networks Limited,56727
INEOS ABS (India) Limited,56730
ING Vysya Bank Limited,56733
IO System Limited,56736
IOL Chemicals and Pharmaceuticals Limited,56738
IRB Infrastructure Developers Limited,56740
ISF Limited,56743
ISMT Limited,56745
IT People (India) Limited,56748
ITD Cementation India Limited,56750
IVRCL Assets and Holdings Limited,56753
Idea Cellular Limited,56756
Igarashi Motors India Limited,56759
Ikab Securities and Investment Limited,56762
Impex Ferro Tech Limited,56764
In House Productions Limited,56767
Inani Marbles & Industries Limited,56769
Inani Securities Limited,56771
Inca Finlease Limited,56773
Incap Limited,56775
Incon Engineers Limited,56777
Ind Bank Housing Limited,56779
Ind Swift Limited,56781
Ind Tra Deco Limited,56784
Ind-Agiv Commerce Limited,56787
Ind-Swift Laboratories Limited,56789
Indag Rubber Limited,56792
Indage Restaurants and Leisure Limited,56794
Indage Vintners Limited,56796
Indbank Merchant Banking Services Limited,56798
Indergiri Finance Limited,56801
India Cements Capital Limited,56803
India Cements Limited,56805
India Foils Limited,56808
India Gelatine & Chemicals Limited,56811
India Glycols Limited,56813
India Gypsum Limited,56816
India Home Loans Limited,56819
India Infoline Limited,56821
India Lease Development Limited,56824
India Motor Parts & Accessories Limited,56827
India Nippon Electricals Limited,56830
India Nivesh Limited,56833
India Securities Limited,56835
India Steel Works Limited,56838
India Sugars & Refineries Limited,56841
India Tourism Development Corporation Limited,56843
Indiabulls Financial Services Limited,56845
Indiabulls Power Limited,56848
Indiabulls Real Estate Limited,56851
Indiabulls Securities Limited,56854
Indiaco Ventures Limited,56857
Indian Acrylics Limited,56859
Indian Bank,56862
Indian Card Clothing Company Limited,56865
Indian Extractions Limited,56868
Indian Hotels Company Limited,56870
Indian Hume Pipe Company Limited,56873
Indian Metals & Ferro Alloys Limited,56876
Indian Oil Corporation Limited,56878
Indian Overseas Bank,56881
Indian Sucrose Limited,56884
Indian Toners & Developers Limited,56886
Indo Amines Limited,56888
Indo Asian Finance Limited,56890
Indo Asian Fusegear Limited,56892
Indo Borax & Chemicals Limited,56895
Indo Count Industries Limited,56897
Indo Green Projects Limited,56900
Indo Rama Synthetics (India) Limited,56902
Indo-Asian Projects Limited,56905
Indo-Bonito Multinational Limited,56907
Indo-City Infotech Limited,56909
Indo-Pacific Software & Entertainment Limited,56911
Indo-Tech Transformers Limited,56913
Indoco Remedies Limited,56916
Indocount Finance Limited,56919
Indokem Limited,56921
Indowind Energy Limited,56923
Indraprastha Gas Limited,56926
Indraprastha Medical Corporation Limited,56929
Indrayani Biotech Limited,56932
Indsil Hydro Power and Manganese Limited,56934
Inducto Steel Limited,56936
Indus Fila Limited,56938
Indus Networks Limited,56941
Indusind Bank Limited,56943
Industrial & Prudential Investment Company Limited,56946
Industrial Investment Trust Limited,56948
Infinite Computer Solutions (India) Limited,56950
Info Edge (India) Limited,56953
Info-Drive Software Limited,56956
Infomedia 18 Limited,56959
Informed Technologies India Limited,56962
Infosys Technologies Limited,56964
Infotech Enterprises Limited,56967
Infotrek Syscom Limited,56970
Infra Industries Limited,56972
Infrastructure Development Finance Company Limited,56974
Ingersoll-Rand (India) Limited,56977
Innocorp Limited,56980
Inox Leisure Limited,56982
Insecticides (India) Limited,56985
Insilco Limited,56988
Insutech India Limited,56991
Intec Capital Limited,56993
Integra Capital Management Limited,56995
Integra India Group Company Limited,56997
Integra Switchgear Limited,56999
Integral Knit Company Limited,57001
Integrated Finance Company Limited,57003
Integrated Financial Services Limited,57006
Integrated Hitech Limited,57008
Integrated Proteins Limited,57010
Intellivate Capital Ventures Limited,57012
Intellvisions Software Limited,57014
Intense Technologies Limited,57016
Intensive Air Systems Limited,57018
Inter Globe Finance Limited,57020
Inter State Oil Carrier Limited,57022
Intercorp Industries Limited,57024
Interface Financial Services Limited,57026
Interfit Techno Products Limited,57028
Intergrated Digital Info Services Limited,57030
Interlink Petroleum Limited,57032
International Combustion (India) Limited,57034
International Conveyors Limited,57036
International Data Management Limited,57038
International Housing Finance Corporation Limited,57040
International Travel House Limited,57042
Interworld Digital Limited,57045
Intra Infotech Limited,57047
Intrasoft Technologies Limited,57049
Investment & Precision Castings Limited,57052
Invicta Meditek Limited,57054
Inwinex Pharmaceuticals Limited,57056
Ion Exchange (India) Limited,57058
Ipca Laboratories Limited,57061
Ircon International Limited,57064
Ishita Drugs & Industries Limited,57066
Ishwar Bhuvan Hotels Limited,57068
Ishwarshakti Holdings & Traders Limited,57070
Ispat Industries Limited,57072
J B Chemicals & Pharmaceuticals Limited,57075
J B F Industries Limited,57078
J B M Auto Limited,57081
J C T Electronics Limited,57084
J C T Limited,57087
J D Orgochem Limited,57090
J H S Svendgaard Laboratories Limited,57093
J I K Industries Limited,57096
J J Exporters Limited,57099
J J Finance Corporation Limited,57101
J K Cement Limited,57103
J K Lakshmi Cement Limited,57106
J K Papers Limited,57109
J K Sugar Limited,57112
J Kumar Infraprojects Limited,57114
J L Morison (India) Limited,57117
J M C Projects (India) Limited,57119
J M D Telefilms Industries Limited,57122
J M G Corporation Limited,57124
J P T Securities Limited,57126
J R Foods Limited,57128
J R G Securities Limited,57130
JK Agri Genetics Limited,57132
JK Tyre and Industries Limited,57134
JM Financial Limited,57137
JMDE Packaging & Realties Limited,57140
JMT Auto Limited,57142
JSL Limited,57145
JSW Energy Limited,57148
JSW Steel Limited,57151
JVL Agro Industries Limited,57154
Jagan Lamps Limited,57156
Jagatjit Industries Limited,57158
Jagjanani Textiles Limited,57161
Jagran Prakashan Limited,57163
Jagson Airlines Limited,57166
Jagsonpal Pharmaceuticals Limited,57168
Jai Balaji Industries Limited,57171
Jai Corp Limited,57174
Jai Mata Glass Limited,57177
Jaihind Projects Limited,57179
Jaihind Synthetics Limited,57181
Jain Irrigation Systems Limited,57183
Jain Studios Limited,57186
Jainco Projects (India) Limited,57189
Jainex Aamcol Limited,57191
Jaipan Industries Limited,57193
Jaiprakash Associates Limited,57195
Jaiprakash Industries Limited,57198
Jaiprakash Power Ventures Limited,57201
Jalgaon Re-Rolling Industries Limited,57204
Jalpac India Limited,57206
James Hotels Limited,57208
Jammu and Kashmir Bank Limited,57210
Jamna Auto Industries Limited,57213
Jamshri Ranjitsinghji Spg & Wvg Mill Company Limited,57216
Janice Textiles Limited,57218
Jarigold Textiles Limited,57220
Jasch Industries Limited,57222
Jay Bharat Maruti Limited,57225
Jay Shree Tea & Industries Limited,57228
Jay Ushin Limited,57231
Jayabharat Credit Limited,57233
Jayant Agro Organics Limited,57235
Jayant Mercantile Company Limited,57238
Jayaswal Neco Industries Limited,57240
Jayavant Products Limited,57243
Jaybharat Textiles and Real Estate Limited,57245
Jaypee Hotels Limited,57247
Jayshree Chemicals Limited,57250
Jaysynth Dyestuff (India) Limited,57252
Jeet Machine Tools Limited,57255
Jenburkt Pharmaceuticals Limited,57257
Jenson & Nicholson (India) Limited,57259
Jet Airways (India) Limited,57262
Jetking Infotrain Limited,57265
Jeypore Sugar Company Limited,57267
Jhagadia Copper Limited,57269
Jhaveri Credits & Capital Limited,57272
Jhaveri Flexo India Limited,57274
Jindal Capital Limited,57276
Jindal Drilling & Industries Limited,57278
Jindal Hotels Limited,57281
Jindal Photo Limited,57283
Jindal Poly Films Limited,57286
Jindal Saw Limited,57289
Jindal South West Holdings Limited,57292
Jindal Steel & Power Limited,57295
Jindal Worldwide Limited,57298
Jindal cotex Limited,57300
Jocil Limited,57303
Joindre Capital Services Limited,57305
Jolly Board Limited,57307
Joonktollee Tea & Industries Limited,57309
Jost`S Engineering Company Limited,57311
Joy Reality Limited,57313
Jubilant FoodWorks Limited,57315
Jubilant Organosys Limited,57318
Jumbo Bag Limited,57321
Jupiter Bioscience Limited,57324
Jupiter Industries & Leasing Limited,57327
Jyothy Laboratories Limited,57329
Jyoti Cosmetics (Exim) Limited,57332
Jyoti Limited,57334
Jyoti Overseas Limited,57336
Jyoti Resins & Adhesives Limited,57338
Jyoti Structures Limited,57340
K B S Capital Management Limited,57343
"K C P Limited, The",57345
K C P Sugar and Industries Corporation Limited,57348
K D L Biotech Limited,57351
K E C International Limited,57354
K G Denim Limited,57357
K G N Industries Limited,57360
K G Petrochem Limited,57362
K I C Metaliks Limited,57364
K J M C Financial Services Limited,57366
K J M C Global Market (india) Limited,57369
K L G Systel Limited,57371
K M F Builders & Developers Limited,57374
K M Sugar Mills Limited,57376
K P I T Cummins Infosystems Limited,57379
K P R Mill Limited,57382
K R B L Limited,57385
K S B Pumps Limited,57388
K S E Limited,57391
K S Oils Limited,57394
K Sera Sera Productions Limited,57397
KDDL Limited,57400
KLG Capital Services Limited,57402
KLRF Limited,57404
KMC Speciality Hospitals (India) Limited,57407
KNR Constructions Limited,57409
KSK Energy Ventures Limited,57412
KSL and Industries Limited,57415
KZ Leasing & Finance Limited,57417
Kaashyap Technologies Limited,57419
Kabra Extrusiontechnik Limited,57421
Kachchh Minerals Limited,57424
Kadamb Constructions Limited,57426
Kadvani Securities Limited,57428
Kailash Auto Finance Limited,57430
Kailash Ficom Limited,57432
Kaira Can Company Limited,57434
Kaiser Press Limited,57436
Kajaria Ceramics Limited,57438
Kakatiya Cement Sugar & Industries Limited,57441
Kale Consultants Limited,57444
Kaleidoscope Films Limited,57447
Kalindee Rail Nirman (Engineers) Limited,57449
Kallam Spinning Mills Limited,57452
Kalpataru Power Transmission Limited,57454
Kalpena Industries Limited,57457
Kalpena Plastiks Limited,57459
Kalptaru Papers Limited,57461
Kalyani Forge Limited,57463
Kalyanpur Cements Limited,57466
Kama Holdlings Limited,57468
Kamadgiri Synthetics Limited,57470
Kamanwala Housing Construction Limited,57472
Kamat Hotels (India) Limited,57474
Kamdhenu Ispat Limited,57477
Kampani Consultants Limited,57480
Kanani Industries Limited,57482
Kanchan International Limited,57484
Kanco Enterprises Limited,57486
Kandagiri Spinning Mills Limited,57488
Kanika Infrastructure and Power Limited,57490
Kanishk Steel Industries Limited,57492
Kanoria Chemicals & Industries Limited,57494
Kanpur Plastipack Limited,57497
Kansai Nerolac Paints Limited,57499
Kapashi Commercial Limited,57502
Kapil Cotex Limited,57504
Kappac Pharma Limited,57506
Kar Mobiles Limited,57508
Karan Woo-Sin Limited,57510
Karma Ispat Limited,57512
"Karnataka Bank Limited, The",57514
Kartik Investments Trust Limited,57517
Karur K C P Packkagings Limited,57519
"Karur Vysya Bank Limited, The",57522
Karuturi Global Limited,57525
Kashipur Sugar Mills Limited,57528
Kashyap Tele-Medicines Limited,57530
Katare Spinning Mills Limited,57532
Kaushalya Infrastructure Development Corporation Limited,57534
Kaveri Seed Company Limited,57537
Kavveri Telecom Products Limited,57540
Kay Power and Paper Limited,57543
Kaycee Industries Limited,57545
Kedia Construction Company Limited,57547
Keerthi Industries Limited,57549
Kei Industries Limited,57551
Keltech Energies Limited,57554
Kemp & Company Limited,57556
Kemrock Industries and Exports Limited,57558
Ken Financial Services Limited,57561
Kennametal India Limited,57563
Kerala Ayurveda Limited,57566
Kernex Microsystems (India) Limited,57568
Kesar Enterprises Limited,57571
Kesoram Industries Limited,57574
Kew Industries Limited,57577
Kewal Kiran Clothing Limited,57580
Keynote Corporate Services Limited,57583
Khaitan (India) Limited,57586
Khaitan Electricals Limited,57589
Khaitan Fertilizers Limited,57592
Khandelwal Extractions Limited,57594
Khandwala Securities Limited,57596
Khatau Exim Limited,57599
Khator Fibre & Fabrics Limited,57601
Khoday India Limited,57603
Khyati Multimedia Entertainment Limited,57605
Kiduja India Limited,57607
Kilburn Chemicals Limited,57609
Kilburn Engineering Limited,57611
Kilburn Office Automation Limited,57614
Kilitch Drugs (India) Limited,57616
Kilpest India Limited,57618
Kinetic Engineering Limited,57620
Kinetic Motor Company Limited,57623
Kingfisher Airlines Limited,57626
Kiran Print-Pack Limited,57629
Kiri Dyes and Chemicals Limited,57631
Kirloskar Brothers Limited,57634
Kirloskar Electric Company Limited,57637
Kirloskar Ferrous Industries Limited,57640
Kirloskar Industries Limited,57643
Kirloskar Investments & Finance Limited,57646
Kirloskar Pneumatic Company Limited,57649
Kirti Finvest Limited,57652
Kisan Mouldings Limited,57654
Kitex Garments Limited,57656
Kitply Industries Limited,57658
Koa Tools India Limited,57661
Koffee Break Pictures Limited,57663
Kohinoor Broadcasting Corporation Limited,57665
Kohinoor Foods Limited,57667
Kohinoor Techno Engineers Limited,57670
Kolte Patil Developers Limited,57672
Konark Synthetic Limited,57675
Konkan Tyres Limited,57677
Kopran Limited,57679
Kosian Industries Limited,57682
Kotak Mahindra Bank Limited,57684
Kothari Fermentation & Biochem Limited,57687
Kothari Petrochemicals Limited,57689
Kothari Products Limited,57692
Kothari Sugars & Chemicals Limited,57695
Koutons Retail India Limited,57698
Kovai Medical Center & Hospital Limited,57701
Kovalam Investment & Trading Company Limited,57704
Krebs Biochemicals & Industries Limited,57706
Kreon Finnancial Services Limited,57709
Krishna Deep Trade and Investment Limited,57711
Krishna Lifestyle Technologies Limited,57713
Kriti Industries (India) Limited,57716
Krypton Industries Limited,57718
Kuberkamal Industrial Investment Limited,57720
Kulkarni Power Tools Limited,57722
Kumar Wire Cloth Mfg Company Limited,57724
Kunststoffe Industries Limited,57726
Kutch Salt & Allied Industries Limited,57728
Kuvam International Fashions Limited,57730
Kwality Dairy (India) Limited,57732
L C C Infotech Limited,57735
L G B Forge Limited,57738
L G Balakrishnan & Bros Limited,57741
L I C Housing Finance Limited,57744
L K P Finance Limited,57747
L M L Limited,57750
L N Polyesters Limited,57753
L S Industries Limited,57755
L T Foods Limited,57757
LGS Global Limited,57760
La Opala R G Limited,57762
Lactose (India) Limited,57765
Ladderup Finance Limited,57767
Laffans Petrochemicals Limited,57769
Lahoti Overseas Limited,57771
Lakshmi Auto Components Limited,57773
Lakshmi Automatic Loom Works Limited,57776
Lakshmi Electrical Control Systems Limited,57778
Lakshmi Energy and Foods Limited,57781
Lakshmi Machine Works Limited,57784
Lakshmi Mills Company Limited,57787
Lakshmi Precision Screws Limited,57790
Lakshmi Vilas Bank Limited,57793
Lalphul Investments Limited,57796
Lambodhara Textiles Limited,57798
Lanco Industries Limited,57800
Lanco Infratech Limited,57803
Lancor Holdings Limited,57806
Landmarc Leisure Corporation Limited,57808
Landmark Property Development Company Limited,57810
Larsen & Toubro Limited,57813
Laser Diamonds Limited,57816
Laser Dot Limited,57818
Lawreshwar Polymers Limited,57820
Le Waterina Resorts and Hotels Limited,57822
Lead Financial Services Limited,57824
Ledo Tea Company Limited,57826
Lee & Nee Softwares (Exports) Limited,57828
Leena Consultancy Limited,57830
Liberty Phosphate Limited,57832
Liberty Shoes Limited,57834
Libord Infotech Limited,57837
