name,sourceid
Aqua Logistics Limited,54001
Aravali Securities & Finance Limited,54004
Arcee Industries Limited,54007
Archidply Industries Limited,54009
Archies Limited,54012
Arco Leasing Limited,54015
Arcotech Limited,54017
Ardi Investments & Trading Company Limited,54019
Areva T & D India Limited,54021
Arex Industries Limited,54024
Aries Agro Limited,54026
Arihant Capital Markets Limited,54029
Arihant Foundations & Housing Limited,54031
Arihant Superstructures Limited,54034
Arihant`s Securities Limited,54036
Arman Financial Services Limited,54038
Arms Paper Limited,54040
Arnav Corporation Limited,54042
Aro Granite Industries Limited,54044
Aroni Commercials Limited,54047
Arora Fibres Limited,54049
Arrow Coated Products Limited,54051
Arrow Textiles Limited,54053
Arshiya International Limited,54056
Artefact Projects Limited,54059
Artheon Finance Limited,54061
Artillegence Bio-Innovations Limited,54063
Artson Engineering Limited,54065
Arvind Chemicals Limited,54068
Arvind International Limited,54070
Arvind Limited,54072
Arvind Products Limited,54075
Arvind Remedies Limited,54077
Aryaman Financial Services Limited,54080
Asahi India Glass Limited,54082
Asahi Infrastructure & Projects Limited,54085
Asahi Songwon Colors Limited,54087
Ascent Exim (India) Limited,54089
Ashapura Minechem Limited,54091
Ashco Niulab Industries Limited,54094
Ashiana Agro Industries Limited,54097
Ashiana Housing Limited,54099
Ashiana Ispat Limited,54101
Ashima Limited,54103
Ashirwad Capital Limited,54106
Ashirwad Steels and Industries Limited,54108
Ashish Polyplast Limited,54110
Ashnoor Textile Mills Limited,54112
Ashok Alco-Chem Limited,54114
Ashok Leyland Limited,54117
Ashutosh Paper Mills Limited,54120
Asia HR Technologies Limited,54122
Asian Electronics Limited,54124
Asian Films Production & Distribution Limited,54127
Asian Granito India Limited,54129
Asian Hotels (North) Limited,54132
Asian Oilfield Services Limited,54135
Asian Paints Limited,54137
Asian Star Company Limited,54140
Asian Tea & Exports Limited,54142
Asit C Mehta Financial Services Limited,54144
Assam Company India Limited,54146
Assam Petrochemicals Limited,54149
Associated Alcohols & Breweries Limited,54151
Associated Stone Industries (Kotah) Limited,54154
Astec LifeSciences Limited,54157
Astra Microwave Products Limited,54160
Astral Poly Technik Limited,54163
Astrazeneca Pharma India Limited,54166
Astro Bio Systems Limited,54169
Asya Infrastructure & Tourism Corporation Limited,54171
Atco Corporation Limited,54173
Atharv Enterprises Limited,54175
Atlanta Limited,54177
Atlas Copco (India) Limited,54180
Atlas Cycles (Haryana) Limited,54183
Atul Auto Limited,54186
Atul Limited,54188
Aunde Faze Three Limited,54191
Aurangabad Paper Mills Limited,54193
AurionPro Solutions Limited,54196
Auro Laboratories Limited,54199
Aurobindo Pharma Limited,54201
Auroma Coke Limited,54204
Aurum Soft Systems Limited,54206
Ausom Enterprise Limited,54208
Austin Engineering Company Limited,54211
Autoline Industries Limited,54213
Autolite (India) Limited,54216
Automobile Corporation Of Goa Limited,54219
Automotive Axles Limited,54222
Automotive Stampings and Assemblies Limited,54225
Autoriders Finance Limited,54228
Autoriders International Limited,54231
Available Finance Limited,54233
Avance Technologies Limited,54235
Avantel Limited,54237
Avanti Feeds Limited,54239
Avaya Global Connect Limited,54242
Aventis Pharma Limited,54245
Avery India Limited,54248
Aviva Industries Limited,54251
Avon Corporation Limited,54253
Avon Organics Limited,54255
Axel Polymers Limited,54257
Axis Bank Limited,54259
Axis Capital Markets (India) Limited,54262
Axon Infotech Limited,54264
Axtel Industries Limited,54266
Ayoki Mercantile Limited,54268
B & A Limited,54270
B A G Films and Media Limited,54272
B A S F India Limited,54275
B C C Fuba India Limited,54278
B C L Forgings Limited,54280
B C L Industries and Infrastructures Limited,54282
B D H Industries Limited,54284
B F Utilities Limited,54286
B K V Industries Limited,54289
B L B Limited,54291
B L Kashyap and Sons Limited,54294
B N K Capital Markets Limited,54297
B N R Udyog Limited,54299
B N Rathi Securities Limited,54301
B Nanji Enterprises Limited,54303
B O C India Limited,54305
B P L Limited,54308
B S E L Infrastructure Realty Limited,54311
B S L Limited,54314
B W L Limited,54317
B and A Multiwall Packaging Limited,54319
B and B Realty Limited,54321
B2B Software Technologies Limited,54323
BEML Limited,54325
BGIL Films & Technologies Limited,54328
BGR Energy Systems Limited,54330
BITS Limited,54333
BLS Infotech Limited,54335
Baba Arts Limited,54337
Bacil Pharma Limited,54339
Baffin Engineering Projects Limited,54341
Bafna Pharmaceuticals Limited,54343
Bafna Spinning Mills & Exports Limited,54345
Bagadia Colourchem Limited,54347
Baid Leasing & Finance Company Limited,54349
